mc,bm
慢性缺血性小肠炎,K55.106
结肠血管发育不良,K55.200
结肠血管扩张症,K55.201
特指肠血管疾患,K55.800
肠系膜动脉炎,K55.801
小肠毛细血管扩张,K55.802
肠血管疾患,K55.900
缺血性小肠炎,K55.901
缺血性肠病,K55.902
麻痹性肠梗阻,K56.000
神经源性肠梗阻,K56.001
肠套叠,K56.100
结肠套叠,K56.101
直肠套叠,K56.102
肠扭转,K56.200
绞窄性肠梗阻,K56.201
肠绞窄,K56.202
结肠扭转,K56.203
胆石性肠梗阻,K56.300
肠特指嵌塞,K56.400
肠结石,K56.401
肠粘连伴梗阻,K56.500
腹膜粘连伴肠梗阻,K56.501
肠梗阻伴粘连,K56.502
肠粘连性狭窄,K56.503
特指肠梗阻,K56.600
肠狭窄,K56.601
乙状结肠狭窄,K56.602
肠梗阻伴坏死,K56.603
机械性肠梗阻,K56.604
肠梗阻,K56.700
不完全性肠梗阻,K56.701
结肠梗阻,K56.702
小肠憩室伴穿孔,K57.000
小肠憩室伴脓肿,K57.001
小肠憩室病伴腹膜炎,K57.002
十二指肠憩室伴穿孔,K57.003
小肠憩室病,K57.100
十二指肠憩室梗阻性黄疸综合征,K57.101
回盲部憩室,K57.102
空肠憩室,K57.103
十二指肠憩室,K57.104
回肠憩室,K57.105
小肠憩室炎,K57.106
空肠憩室炎,K57.107
十二指肠憩室炎,K57.108
大肠憩室伴穿孔,K57.200
大肠憩室病伴有脓肿,K57.201
结肠憩室伴腹膜炎,K57.202
大肠憩室,K57.300
盲肠憩室,K57.301
直肠憩室,K57.302
结肠憩室,K57.303
结肠憩室炎,K57.304
盲肠憩室炎,K57.305
小肠和大肠憩室病伴穿孔和脓肿,K57.400
小肠和大肠憩室病伴腹膜炎,K57.401
小肠和大肠憩室病,K57.500
肠憩室病伴穿孔和脓肿,K57.800
肠憩室病伴腹膜炎,K57.801
肠憩室病,K57.900
肠易激综合征伴腹泻,K58.000
肠易激综合征,K58.900
肠痉挛,K58.901
过敏性结肠,K58.902
便秘,K59.000
盆底痉挛综合征,K59.001
粪便潴留,K59.002
功能性腹泻,K59.100
肠道菌群失调,K59.101
神经源性肠,K59.200
巨结肠,K59.300
结肠扩张,K59.301
后天性巨结肠,K59.302
中毒性巨结肠,K59.303
肛门痉挛,K59.400
盆底肌痉挛综合征,K59.401
特指功能性肠疾患,K59.800
脾区综合征,K59.801
肠功能紊乱,K59.900
急性肛裂,K60.000
慢性肛裂,K60.100
肛裂,K60.200
肛瘘,K60.300
高位肛瘘,K60.301
低位肛瘘,K60.302
复杂性肛瘘,K60.303
直肠瘘,K60.400
直肠会阴瘘,K60.401
直肠皮肤瘘,K60.402
直肠阴囊皮肤瘘,K60.403
肛门直肠瘘,K60.500
肛门脓肿,K61.000
肛周脓肿,K61.001
肛门蜂窝织炎,K61.002
直肠脓肿,K61.100
直肠周围脓肿,K61.101
肛门直肠脓肿,K61.200
坐骨直肠窝脓肿,K61.300
括约肌内脓肿,K61.400
肛门息肉,K62.000
肛管息肉,K62.001
直肠息肉,K62.100
脱肛,K62.200
肛管脱垂,K62.201
肛门括约肌脱垂,K62.202
直肠脱垂,K62.300
直肠粘膜脱垂,K62.301
直肠狭窄,K62.400
肛门狭窄,K62.401
直肠梗阻,K62.402
直肠出血,K62.500
肛门出血,K62.501
直肠溃疡,K62.600
肛管溃疡,K62.601
肛门周围溃疡,K62.602
放射性直肠炎,K62.700
肛门和直肠特指疾病,K62.800
肛窦炎,K62.801
肛管炎,K62.802
巨直肠,K62.803
直肠吻合口瘢痕,K62.804
直肠不典型增生,K62.805
直肠纤维钙化,K62.806
直肠吻合口炎,K62.807
直肠肉芽肿,K62.808
直肠瘢痕,K62.809
直肠囊肿,K62.810
直肠炎,K62.811
直肠痛,K62.812
肛门括约肌松弛,K62.813
肛管炎性肿物,K62.814
肛门周围感染,K62.815
肛乳头肥大,K62.816
肛门白斑,K62.817
肛管囊肿,K62.818
肛门囊肿,K62.819
肛门痛,K62.820
肛门炎,K62.821
慢性肛管直肠炎,K62.822
肛门和直肠疾患,K62.900
肛旁肿物,K62.901
肛管肿物,K62.902
直肠肿物,K62.903
肠脓肿,K63.000
小肠脓肿,K63.001
肠穿孔(非创伤性),K63.100
空肠穿孔,K63.101
回肠穿孔,K63.102
结肠穿孔,K63.103
回盲部溃疡伴穿孔,K63.104
乙状结肠穿孔,K63.105
直肠穿孔,K63.106
肠破裂,K63.107
小肠穿孔,K63.108
肠瘘,K63.200
腹壁肠瘘,K63.201
腹壁盲肠瘘,K63.202
腹壁窦道,K63.203
结肠瘘,K63.204
手术后结肠瘘,K63.205
手术后盲肠瘘,K63.206
手术后空肠瘘,K63.207
手术后回肠瘘,K63.208
手术后肠腹壁瘘,K63.209
手术后肠吻合口瘘,K63.210
手术后小肠结肠瘘,K63.211
手术后结肠直肠瘘,K63.212
手术后肠瘘,K63.213
腹壁瘘,K63.214
手术后大肠瘘,K63.215
手术后小肠瘘,K63.216
肠溃疡,K63.300
回肠溃疡,K63.301
小肠溃疡,K63.302
职业性痤疮,L70.803
痤疮,L70.900
口周皮炎,L71.000
肥大性酒渣鼻,L71.100
鼻赘,L71.101
特指酒渣鼻,L71.800
酒渣鼻,L71.900
表皮囊肿,L72.000
毛根鞘囊肿,L72.100
面部皮脂腺囊肿,L72.101
头颈皮脂腺囊肿,L72.102
躯干皮脂腺囊肿,L72.103
四肢皮脂腺囊肿,L72.104
皮脂腺囊肿,L72.105
多发性皮脂腺囊肿,L72.200
皮肤和皮下组织特指毛囊囊肿,L72.800
皮肤毛囊囊肿,L72.900
头颈部囊肿,L72.901
面部囊肿,L72.902
躯干囊肿,L72.903
腹股沟区皮肤囊肿,L72.904
四肢囊肿,L72.905
皮下组织毛囊囊肿,L72.906
瘢瘤性痤疮,L73.000
须部假性毛囊炎,L73.100
化脓性汗腺炎,L73.200
特指毛囊疾患,L73.800
狼疮样须疮,L73.801
毛囊闭锁三联征,L73.802
皮脂腺增生,L73.803
须疮,L73.804
寻常须疮,L73.805
毛囊炎,L73.900
红痱,L74.000
痱子,L74.001
晶状痱,L74.100
深部痱,L74.200
痱,L74.300
无汗症,L74.400
少汗症,L74.401
特指外分泌汗腺疾患,L74.800
红鼻肉芽肿,L74.801
外分泌汗腺疾患,L74.900
臭汗症,L75.000
腋臭,L75.001
色汗症,L75.100
顶泌腺粟疹,L75.200
福克斯-福代斯病,L75.201
特指顶(浆分)泌汗腺疾患,L75.800
顶(浆分)泌汗腺疾患,L75.900
白癜风,L80.x00
炎症后色素沉着过度,L81.000
黄褐斑,L81.100
雀斑,L81.200
咖啡牛奶色斑,L81.300
特指黑色素沉着过度,L81.400
黑皮病,L81.401
黑变病,L81.402
焦油性黑变病,L81.403
里尔黑变病,L81.404
雀斑痣,L81.405
神经皮肤黑变病,L81.406
中毒性黑变病,L81.407
白斑病,L81.500
黑色素形成减少特指疾患,L81.600
皮肤异色病,L81.601
着色紫癜性皮肤病,L81.700
进行性色素性皮肤病,L81.701
毛细血管扩张性环状紫瘢,L81.702
尚贝格色素皮肤病,L81.703
色素沉着特指疾患,L81.800
铁色素沉着,L81.801
文身,L81.802
紫纹,L81.803
皮肤色素沉着,L81.900
脂溢性角化病,L82.x00
黑色丘疹性皮肤病,L82.x01
莱泽 - 特雷拉特病,L82.x02
脂溢性棘皮病,L82.x03
黑棘皮病,L83.x00
融合性网状乳头瘤,L83.x01
假黑棘皮病,L83.x02
鸡眼,L84.x00
感染性胼胝,L84.x01
获得性鱼鳞癣,L85.000
后天性掌跖角化病,L85.100
胼胝,L85.101
点状角化病,L85.200
皮肤干燥症,L85.300
特指表皮增厚,L85.800
角化棘皮瘤,L85.801
毛发角化病,L85.802
皮角,L85.803
砷角化病,L85.804
表皮肥厚,L85.900
皮肤穿入性毛囊和毛囊周角化病[克尔],L87.000
穿入性毛囊角化过度,L87.001
反应性穿通性胶原病,L87.100
匐行穿孔性弹性组织变性,L87.200
特指经表皮排除疾患,L87.800
经表皮排除疾患,L87.900
坏疽性脓皮症,L88.x00
坏疽性皮炎,L88.x01
蚀疮性脓皮症,L88.x02
Ⅰ期褥疮,L89.000
Ⅱ期褥疮,L89.100
Ⅲ期褥疮,L89.200
Ⅳ期褥疮,L89.300
褥疮,L89.900
硬化萎缩性苔藓,L90.000
施韦宁格-布齐皮肤松弛,L90.100
雅达松-佩利扎里皮肤松弛,L90.200
特发性皮肤萎缩,L90.300
慢性萎缩性肢端皮炎,L90.400
特发性弥漫性皮肤萎缩,L90.401
皮肤瘢痕情况和纤维化,L90.500
瘢痕,L90.501
瘢痕挛缩,L90.502
瘢痕粘连,L90.503
痛性瘢痕,L90.504
手术后瘢痕,L90.505
萎缩纹,L90.600
皮肤特指萎缩性疾患,L90.800
斑疹性皮肤萎缩,L90.801
继发性皮肤萎缩,L90.802
老年性皮肤萎缩,L90.803
神经性皮肤萎缩,L90.804
皮肤萎缩,L90.900
面部萎缩,L90.901
斑状皮肤萎缩,L90.902
瘢痕疙瘩,L91.000
肥厚性瘢痕,L91.001
瘤样瘢痕,L91.002
皮肤特指肥厚性疾患,L91.800
皮肤赘生物,L91.801
皮肤肥厚性疾患,L91.900
环状肉芽肿,L92.000
穿通性环形肉芽肿,L92.001
类脂质渐进性坏死,L92.100
面部肉芽肿,L92.200
嗜酸性淋巴肉芽肿,L92.201
皮肤和皮下组织异物性肉芽肿,L92.300
皮肤硅肉芽肿,L92.301
皮肤铍肉芽肿,L92.302
皮肤和皮下组织特指肉芽肿性疾患,L92.800
脐肉芽肿,L92.801
皮肤肉芽肿,L92.900
皮下组织肉芽肿,L92.901
肉芽肿,L92.903
盘状红斑狼疮,L93.000
红斑狼疮,L93.001
亚急性皮肤红斑狼疮,L93.100
特指局限性红斑狼疮,L93.200
狼疮性脂膜炎,L93.201
深在性红斑狼疮,L93.202
局限性硬皮病,L94.000
线状硬皮病,L94.100
皮下钙化,L94.200
指端硬化,L94.300
趾端硬化,L94.301
戈特龙丘疹,L94.400
血管萎缩性皮肤异色病,L94.500
阿洪病,L94.600
特指局限性结缔组织疾患,L94.800
局限性结缔组织疾患,L94.900
青斑血管炎,L95.000
白色斑块状萎缩症,L95.001
持久性隆起性红斑,L95.100
局限于皮肤特指血管炎,L95.800
结节性血管炎,L95.801
皮肤变应性血管炎,L95.802
皮肤血管炎,L95.900
荨麻疹性血管炎,L95.901
下肢溃疡,L97.x00
原发性单侧膝关节病,M17.101
创伤后双侧膝关节病,M17.200
特指创伤后膝关节病,M17.300
创伤后单侧膝关节病,M17.301
继发性双侧膝关节病,M17.400
特指继发性膝关节病,M17.500
继发性单侧膝关节病,M17.501
膝关节病,M17.900
双侧第一腕掌关节原发性关节病,M18.000
第一腕掌关节特指原发性关节病,M18.100
单侧第一腕掌关节原发性关节病,M18.101
双侧第一腕掌关创伤后节关节病,M18.200
第一腕掌关节特指创伤后关节病,M18.300
单侧第一腕掌关节创伤后关节病,M18.301
双侧第一腕掌关节继发性关节病,M18.400
第一腕掌关节特指继发性关节病,M18.500
单侧第一腕掌关节继发性关节病,M18.501
第一腕掌关节关节病,M18.900
特指关节原发性关节病,M19.000
原发性关节病,M19.001
特指关节创伤后关节病,M19.100
创伤后关节病,M19.101
特指继发性关节病,M19.200
继发性关节病,M19.201
特指关节病,M19.800
关节病,M19.900
肩关节关节病,M19.901
肘关节关节病,M19.902
腕关节关节病,M19.903
手骨间关节病,M19.904
踝关节关节病,M19.905
足关节关节病,M19.906
肥厚性关节炎,M19.907
老年性关节炎,M19.908
变形性关节炎,M19.909
萎缩性关节炎,M19.910
手指变形,M20.000
后天性槌状指,M20.001
后天性手指畸形,M20.002
后天性手指重叠,M20.003
手指疖孔状畸形,M20.004
手指挛缩,M20.005
手指钮孔状变形,M20.006
手指天鹅颈状变形,M20.007
后天性外翻,M20.100
踇囊炎,M20.101
后天性踇外翻,M20.102
僵踇,M20.200
特指后天性变形,M20.300
后天性踇内翻,M20.301
后天性槌状踇,M20.302
特指后天性锤状趾,M20.400
趾特指后天性变形,M20.500
后天性仰趾畸形,M20.501
后天性脚趾重叠,M20.502
后天性脚趾肥大,M20.503
后天性爪形趾,M20.504
鸡趾,M20.505
脚趾挛缩,M20.506
脚趾下垂,M20.507
竖起趾,M20.508
后天性趾变形,M20.600
外翻变形,M21.000
后天性肘外翻,M21.001
后天性膝外翻,M21.002
后天性足外翻,M21.003
内翻变形,M21.100
弓形腿,M21.101
后天性肘内翻,M21.102
髋关节内翻变形,M21.103
后天性膝内翻,M21.104
后天性足内翻,M21.105
屈曲变形,M21.200
手屈曲畸形,M21.201
膝关节屈曲畸形,M21.202
腕或足后天性下垂,M21.300
后天性腕下垂,M21.301
后天性足下垂,M21.302
后天性扁平足,M21.400
足弓下陷,M21.401
足弓松弛,M21.402
后天性爪形手、畸形手、爪形足和畸形足,M21.500
后天性爪形手,M21.501
后天性手畸形,M21.502
后天性爪形足,M21.503
后天性足畸形,M21.504
后天性马蹄内翻足,M21.505
特指踝和足后天性变形,M21.600
弓形足[高弓足],M21.601
足旋前,M21.602
足凹陷,M21.603
后天性踝关节畸形,M21.604
踝旋前,M21.605
四肢后天性长度不等,M21.700
后天性上臂短缩畸形,M21.701
后天性前臂短缩畸形,M21.702
后天性股骨短缩畸形,M21.703
后天性大腿短缩畸形,M21.704
后天性髋短缩畸形,M21.705
后天性小腿短缩畸形,M21.706
四肢特指后天性变形,M21.800
后天性锁骨畸形,M21.801
后天性肩胛骨畸形,M21.802
翼状肩胛,M21.803
后天性肱骨畸形,M21.804
后天性股骨畸形,M21.805
后天性胫骨畸形,M21.806
后天性腓骨畸形,M21.807
布鲁克病,M21.808
后天性四肢畸形,M21.900
后天性上臂畸形,M21.901
后天性尺骨畸形,M21.902
后天性桡骨畸形,M21.903
后天性前臂畸形,M21.904
后天性掌骨畸形,M21.905
后天性髋关节畸形,M21.906
后天性膝关节畸形,M21.907
后天性下肢畸形,M21.908
复发性髌骨脱位,M22.000
复发性髌骨不全脱位,M22.100
髌股疾患,M22.200
髌股关节病,M22.201
髌骨特指紊乱,M22.300
髌骨滑脱,M22.301
髌骨软骨软化,M22.400
髌骨特指疾患,M22.800
髌骨外侧过度挤压综合征,M22.801
髌骨畸形,M22.802
髌骨疾患,M22.900
囊性半月板,M23.000
膝半月板囊肿,M23.001
先天性盘状半月板,M23.100
陈旧性撕裂或损伤引起半月板紊乱,M23.200
陈旧性前十字韧带损伤,M23.201
陈旧性内侧半月板前角损伤,M23.202
陈旧性后十字韧带损伤,M23.203
陈旧性内侧半月板后角损伤,M23.204
陈旧性膝内侧半月板损伤,M23.205
陈旧性膝内侧副韧带损伤,M23.206
陈旧性膝外侧副韧带损伤,M23.207
陈旧性膝外侧半月板前脚损伤,M23.208
陈旧性膝外侧半月板后脚损伤,M23.209
陈旧性膝外侧半月板损伤,M23.210
陈旧性膝关节囊韧带损伤,M23.211
陈旧性膝半月板断裂,M23.212
陈旧性膝半月板损伤,M23.213
陈旧性膝韧带损伤,M23.214
陈旧性膝内多发性损伤,M23.215
特指半月板紊乱,M23.300
内侧半月板前脚损伤,M23.301
内侧半月板后脚损伤,M23.302
内侧半月板损伤,M23.303
外侧半月板前角损伤,M23.304
外侧半月板后角损伤,M23.305
外侧半月板损伤,M23.306
半月板变性,M23.307
半月板损伤,M23.308
半月板运动过度,M23.309
遗留的半月板,M23.310
膝关节游离体,M23.400
膝慢性不稳定性疾患,M23.500
陈旧性膝韧带破裂,M23.501
膝韧带特指自然破裂,M23.600
自发性膝韧带破裂,M23.601
特指膝关节内紊乱,M23.800
前十字韧带松弛,M23.801
后十字韧带松弛,M23.802
内侧副韧带松弛,M23.803
外侧副韧带松弛,M23.804
膝关节囊韧带松弛,M23.805
膝韧带松弛,M23.806
弹响膝,M23.807
膝关节滑膜嵌顿,M23.808
膝韧带囊肿,M23.809
膝关节锁定,M23.810
膝关节粘连,M23.811
膝关节内紊乱,M23.900
膝关节内激素,M23.901
关节游离体,M24.000
特指关节软骨疾患,M24.100
关节软骨变性,M24.101
陈旧性关节软骨撕裂,M24.102
韧带疾患,M24.200
髌韧带粘连,M24.201
陈旧性踝外侧副韧带断裂,M24.202
项韧带肥厚,M24.203
黄韧带肥厚,M24.204
寰枢横韧带松弛,M24.205
韧带钙化,M24.206
韧带后天性畸形,M24.207
韧带挛缩,M24.208
韧带内囊肿,M24.209
韧带松弛,M24.210
关节病理性脱位和不全脱位,M24.300
自发性寰枢椎脱位,M24.301
自发性寰枢椎半脱位,M24.302
髋关节病理性脱位,M24.303
髋关节病理性不全脱位,M24.304
膝关节病理性脱位,M24.305
膝关节病理性不全脱位,M24.306
踝关节病理性脱位,M24.307
踝关节病理性不全脱位,M24.308
足关节病理性脱位,M24.309
足关节病理性不全脱位,M24.310
自发性关节脱位,M24.311
关节复发性脱位和不全脱位,M24.400
复发性肩关节脱位,M24.401
复发性肩关节不全脱位,M24.402
复发性肘关节脱位,M24.403
复发性肘关节不全脱位,M24.404
复发性腕关节脱位,M24.405
复发性腕关节不全脱位,M24.406
复发性手骨间关节脱位,M24.407
复发性手骨间关节不全脱位,M24.408
复发性髋关节脱位,M24.409
复发性髋关节不全脱位,M24.410
复发性膝关节脱位,M24.411
复发性膝关节不全脱位,M24.412
复发性半月板紊乱,M24.413
复发性踝关节脱位,M24.414
复发性踝关节不全脱位,M24.415
关节习惯性脱位,M24.416
关节习惯性不全脱位,M24.417
关节挛缩,M24.500
髋关节屈曲挛缩,M24.501
膝关节挛缩,M24.502
踝关节挛缩,M24.503
关节强硬,M24.600
多发性关节强硬,M24.601
肩关节强硬,M24.602
肘关节强硬,M24.603
腕关节强硬,M24.604
手骨间关节强硬,M24.605
髋关节强硬,M24.606
膝关节强硬,M24.607
踝关节强硬,M24.608
关节骨性强硬,M24.609
关节纤维变性,M24.610
髋臼前突,M24.700
髋关节内陷,M24.701
特指关节紊乱,M24.800
陈旧性肩关节脱位,M24.801
肩关节粘连,M24.802
陈旧性肘关节脱位,M24.803
肘关节粘连,M24.804
陈旧性腕关节脱位,M24.805
陈旧性手骨间关节脱位,M24.806
陈旧性髋关节脱位,M24.807
陈旧性膝关节脱位,M24.808
陈旧性踝关节脱位,M24.810
关节粘连,M24.811
关节紊乱,M24.900
肩关节紊乱,M24.901
肘关节紊乱,M24.902
腕关节紊乱,M24.903
手骨间关节紊乱,M24.904
髋关节紊乱,M24.905
踝关节紊乱,M24.906
腰椎关节滑膜嵌顿,M24.907
腰椎小关节紊乱,M24.908
关节积血,M25.000
肩关节积血,M25.001
肘关节积血,M25.002
腕关节积血,M25.003
手骨间关节积血,M25.004
髋关节积血,M25.005
膝关节积血,M25.006
踝关节积血,M25.007
关节瘘,M25.100
连枷状关节,M25.200
关节松驰,M25.201
特指关节不稳定,M25.300
关节不稳定,M25.301
关节渗出,M25.400
肩关节积液,M25.401
肩关节肿胀,M25.402
肘关节积液,M25.403
肘关节肿胀,M25.404
腕关节积液,M25.405
腕关节肿胀,M25.406
手骨间关节积液,M25.407
手骨间关节肿胀,M25.408
髋关节积液,M25.409
髋关节肿胀,M25.410
膝关节积液,M25.411
膝关节肿胀,M25.412
踝关节积液,M25.413
踝关节肿胀,M25.414
关节积液,M25.415
关节肿胀,M25.416
关节痛,M25.500
肩关节痛,M25.501
肘关节痛,M25.502
腕关节痛,M25.503
手骨间关节痛,M25.504
髋关节痛,M25.505
膝关节痛,M25.506
踝关节痛,M25.507
关节僵硬,M25.600
肢体僵硬,M25.601
肩关节僵硬,M25.602
肘关节僵硬,M25.603
腕关节僵硬,M25.604
指关节僵硬,M25.605
髋关节僵硬,M25.606
膝关节僵硬,M25.607
踝关节僵硬,M25.608
骨赘,M25.700
特指部位关节疾患,M25.800
多部位关节钙化,M25.801
肩关节钙化,M25.802
肩关节囊肿,M25.803
肘关节囊肿,M25.804
腕关节囊肿,M25.805
近端指间关节周围胶原沉积症,M25.806
髋关节囊肿,M25.807
膝关节囊肿,M25.808
踝关节囊肿,M25.809
关节周围异位骨化,M25.810
关节疾患,M25.900
关节肿物,M25.901
结节性多动脉炎,M30.000
结节性多动脉炎性肌病,M30.001+
结节性多动脉炎性多神经病,M30.002+
结节性多动脉炎性周围神经病,M30.003+
多脉管炎,M30.004
多动脉炎伴有肺受累,M30.100
变应性肉芽肿性血管炎,M30.101
幼年型多动脉炎,M30.200
粘膜皮肤淋巴结综合征[川崎病],M30.300
结节性多动脉炎特指情况,M30.800
多脉管炎重叠综合征,M30.801
过敏性血管炎,M31.000
古德帕斯丘综合征,M31.001
抗肾小球基底膜抗体病,M31.002+
肺出血肾炎综合征相关肾小球肾炎,M31.003+
血栓性微血管病,M31.100
血栓性血小板减少性紫癜,M31.101
血栓性血小板减少性紫癜相关肾小球肾炎,M31.102+
致命性中线肉芽肿,M31.200
坏死性肉芽肿,M31.201
韦格纳肉芽肿病,M31.300
口腔粘膜韦格纳肉芽肿,M31.301
韦格纳肉芽肿病累及肺,M31.302+
韦格纳肉芽肿病相关肾小球肾炎,M31.303+
主动脉弓综合征,M31.400
多发性大动脉炎,M31.401
巨细胞动脉炎伴风湿性多肌痛,M31.500
巨细胞动脉炎,M31.600
显微镜下多血管炎,M31.700
ANCA相关性肾炎,M31.701+
显微镜下多血管炎性周围神经病,M31.702+
血管炎性肾小球肾炎,M31.703+
特指坏死性血管病,M31.800
HCV感染相关血管炎,M31.801
ANCA相关性血管炎,M31.802
低补体血症血管炎,M31.803
坏死性血管炎,M31.900
药物性系统性红斑狼疮,M32.000
系统性红斑狼疮，累及器官或系统,M32.100+
狼疮性肾炎,M32.101+
狼疮性肾小管间质肾炎,M32.102+
狼疮性肺炎,M32.103+
狼疮性心肌病,M32.104+
狼疮性心包炎,M32.105+
狼疮性周围神经病,M32.106+
狼疮性脊髓病变,M32.107+
狼疮性肝损害,M32.108+
利布曼-萨克斯病,M32.109+
狼疮性肌病,M32.110+
狼疮性血液系统损害,M32.111+
狼疮性胃肠道损害,M32.112+
狼疮性视网膜病变,M32.113+
狼疮性脑病,M32.114+
狼疮性桨膜炎,M32.115
特指形式系统性红斑狼疮,M32.800
系统性红斑狼疮,M32.900
隐匿性系统性红斑狼疮,M32.901
幼年型皮肌炎,M33.000
幼年型皮肌炎累及肺,M33.001+
特指皮肌炎,M33.100
皮肌炎,M33.101
皮肌炎性周围神经病,M33.102
皮肌炎性肺间质纤维化,M33.103+
无肌病性皮肌炎,M33.104
异色皮肌炎,M33.105
多肌炎,M33.200
多肌炎伴肺间质纤维化,M33.201+
皮多肌炎,M33.900
皮多肌炎累及肺,M33.901+
进行性全身性硬皮病,M34.000
进行性系统性硬化症,M34.001
全身性钙质沉着综合征,M34.100
药物和化学物质诱发全身性硬皮病,M34.200
特指形式全身性硬皮病,M34.800
硬皮病性肺间质纤维化,M34.801+
布施克硬肿病,M34.802
蒂比耶日-魏森巴赫综合征,M34.803
全身性硬化性肌病,M34.804+
肢端硬肿病,M34.805
全身性硬皮病,M34.900
干燥综合征,M35.000
继发性干燥综合征,M35.001
干燥综合征伴肺间质纤维化,M35.002+
干燥综合征性肝损害,M35.003+
干燥综合征性肌病,M35.004+
干燥综合征性角膜结膜炎,M35.005+
干燥综合征性肾小管间质肾炎,M35.006+
干燥综合征性肾盂肾炎,M35.007+
干燥综合征性中枢神经损害,M35.008+
干燥综合征性周围神经病,M35.009+
重叠综合征,M35.100
混合性结缔组织病,M35.101
贝赫切特综合征,M35.200
贝赫切特病性关节炎,M35.201
贝赫切特病性外阴溃疡,M35.202+
神经贝赫切特病,M35.203
风湿性多肌痛,M35.300
弥漫性嗜酸性筋膜炎,M35.400
多病灶性纤维硬化病,M35.500
复发性脂膜炎,M35.600
肠系膜脂肪炎,M35.601
过度活动综合征,M35.700
家族性韧带松弛,M35.701
结缔组织特指系统性受累,M35.800
嗜酸性粒细胞增多-肌痛综合征,M35.801
结缔组织的系统性受累,M35.900
结缔组织病,M35.901
胶原病,M35.902
胶原血管性多神经病,M35.903+
结缔组织病肺间质纤维化,M35.904+
抗J0-1综合征,M35.905
IgG4相关疾病,M35.906
自身免疫病,M35.907
Satoyoshi综合征,M35.908
姿势性脊柱后凸,M40.000
特指继发性脊柱后凸,M40.100
强直性脊柱炎后凸畸形,M40.101
脊柱后凸,M40.200
直背综合征,M40.300
特指脊柱前凸,M40.400
后天性脊柱前凸,M40.401
姿势性脊柱前凸,M40.402
脊柱前凸,M40.500
鞍状背,M40.501
婴儿型特发性脊柱侧弯,M41.000
幼年型特发性脊柱侧弯,M41.100
青少年特发性脊柱侧弯,M41.101
特发性脊柱侧弯,M41.200
胸源性脊柱侧弯,M41.300
神经肌肉性脊柱侧弯,M41.400
麻痹性脊柱侧弯,M41.401
特指继发性脊柱侧弯,M41.500
创伤性脊柱侧弯,M41.501
特指形式脊柱侧弯,M41.800
脊柱侧弯,M41.900
脊柱后侧凸,M41.901
幼年型脊柱骨软骨病,M42.000
幼年型脊柱骨软骨炎,M42.001
幼年椎骨骺骨软骨病,M42.002
成年脊柱骨软骨病,M42.100
脊柱骨软骨病,M42.900
脊椎骨脱离,M43.000
枕寰枢椎滑脱,M43.001
颈椎滑脱,M43.002
颈椎胸椎滑脱,M43.003
胸椎滑脱,M43.004
胸椎腰椎滑脱,M43.005
腰椎滑脱,M43.006
腰骶部脊椎滑脱,M43.007
骶尾部滑脱,M43.008
脊椎前移,M43.100
创伤性脊椎前移,M43.101
变性性脊椎前移,M43.102
脊柱特指融合,M43.200
寰枢椎关节强硬,M43.201
骶髂关节强硬,M43.202
后天性脊柱关节强硬,M43.203
复发性寰枢不完全性脱位伴脊髓病,M43.300
特指复发性寰枢椎不完全性脱位。,M43.400
特指复发性脊椎不完全性脱位,M43.500
复发性颈椎不完全性脱位,M43.501
复发性颈椎胸椎不完全性脱位,M43.502
复发性胸椎不完全性脱位,M43.503
复发性胸椎腰椎不完全性脱位,M43.504
复发性腰椎不完全性脱位,M43.505
斜颈,M43.600
肌性斜颈,M43.601
僵颈,M43.602
特指变形性背部病,M43.800
脊柱旋转不足,M43.801
腰骶关节畸形,M43.802
骶髂关节畸形,M43.803
骶骨畸形,M43.804
尾骨畸形,M43.805
变形性背部病,M43.900
后天性脊柱变形,M43.901
强直性脊柱炎,M45.x00
类风湿性脊椎炎,M45.x01
萎缩性脊柱炎,M45.x02
脊柱肌腱端病,M46.000
颈椎肌腱端炎,M46.001
胸椎肌腱端炎,M46.002
腰椎肌腱端炎,M46.003
颈椎棘上韧带炎,M46.004
骶髂关节炎,M46.100
椎骨骨髓炎,M46.200
椎间盘感染（脓性）,M46.300
化脓性胸椎间盘感染,M46.301
化脓性腰椎间盘感染,M46.302
关节盘炎,M46.400
颈椎椎间盘炎,M46.401
胸椎椎间盘炎,M46.402
腰椎椎间盘炎,M46.403
特指感染性脊椎病,M46.500
颈椎脓肿,M46.501
胸椎脓肿,M46.502
腰椎脓肿,M46.503
骶尾椎脓肿,M46.504
特指炎性脊椎病,M46.800
化脓性脊柱炎,M46.801
退行性脊柱炎,M46.802
增生性脊柱炎,M46.803
炎性脊椎病,M46.900
脊髓前动脉和椎动脉压迫综合征,M47.000+
椎动脉型颈椎病,M47.001+
椎动脉压迫综合征,M47.002+
脊髓前动脉压迫综合征,M47.003+
特指脊椎关节强硬伴脊髓病,M47.100+
脊髓型颈椎病,M47.101+
胸椎关节强硬伴脊髓病,M47.102+
腰椎关节强硬伴脊髓病,M47.103+
脊椎关节强硬伴脊髓病,M47.104+
特指脊椎关节强硬伴有神经根病,M47.200
神经根型颈椎病,M47.201
交感神经型颈椎病,M47.202
神经根型胸椎病,M47.203
神经根型腰椎病,M47.204
特指脊椎关节强硬,M47.800
颈椎关节强硬,M47.801
混合型颈椎病,M47.802
胸椎关节强硬,M47.803
腰椎关节强硬,M47.804
